Test_Case,TC_Setup,TC_Steps,TC_Expected_Results,TC_Primary_Domain,TC_Secondary_Domain,TC_Component,TC_Labels
MCA-1007,"0. 1. Phone is powered on and camped on the network.
2. Pictures, videos and audio are stored on the phone and the external sdcard if external sdcard supported.
3. MMS and Email is setup on the phone.","0. Launch the Messaging application and compose an SMS and an MMS message with an attached image to a valid email address. Send the MMS and open the email account on a PC
1. From the PC reply to the email (If test carrier not support email account sent out MMS, please skip this step)
2. In Messaging app select multiple contacts at a time and compose an message then send the message
3. In Messaging app select multiple contacts and emails at a time and compose a SMS then send the message","0. The messaging application should open and allow the user to compose SMS and MMS with an attached image. The email should be correctly received on the PC

The SMS is converted to MMS
1. The test phone should correctly receive the replay. The subject should show this is a reply (re: xxx)
2.  When the message is sent the phone will show as a SMS mass text (one message with multiple recipients)
3. The SMS is converted to MMS",Messaging,Message Settings,Messaging,AOSP_Message BB8_not_applicable GMS_Message common_execute_local_network common_validation_reg difficulty_level_medium network_leverage non-VoLTE product_leverage
MCA-1011,"0. 1. 
Pictures & videos are stored on the phone and the external SDcard if the external sdcard is supported.
2. Group messaging is available in messaging settings.
3. In Messaging Settings, go to ""Group Message"" and select ""Send an MMS reply to all recipients (group MMS)"".","0. 1. Compose a message, put two valid phone numbers in the recipients. Add text then send the message.
2. Open the message sent out in step 1, reply the two recipients with an image attached then send the MMS.
3. Compose a message, put one valid number and one invalid number in the recipients. Send the message.
4. In Messaging Settings, go to ""Group Message"" and select ""Send an SMS reply to all recipients and receive individual replies"". Compose a message, put two valid phone numbers in the recipients. Add text then send the message.
5. Open the message sent out in step 4, reply the two recipients with an image attached then send the MMS.
6. Compose a message, paste two valid numbers and one invalid number (copy to valid numbers and an invalid separated by space e.g ""312555888 312888555 0x0x0x0x0"") in the recipients. Send the message.
7. Compose a message, paste two valid numbers (copy to valid numbers and an invalid separated by comma e.g ""312555888, 312888555"") in the recipients. Send the message.
8. Send and receive several messages in a row for the group, at least 6 MMS/SMS 
9. Receive several messages in a row for the group, at least 6 MMS/SMS ","0. 1. The message will be sent as a MMS. In message list it will displayed as one  conversation with two recipients, and  in the conversation there should be one thread. MMS should be received by the reference phones.
2. The MMS can be sent out successfully, and displayed in the conversation.
3. The message will be sent as a MMS. In message list it will displayed as one conversation with two recipients displayed, and in the conversation there should be one thread. MMS should be received by valid reference number and should be failed to the invaild reference number.
4. The message will be sent as two SMS. In message list it will displayed as one  conversation with two recipients, and  in the conversation there should be two seperated threads for two recipients. SMS should be received by the reference phones.
5. The MMS can be sent out successfully, and displayed in the conversation.
6. The message will be sent as two SMS. In message list it will displayed as one conversation with two recipients displayed, and in the conversation there should be two seperated threads for two recipients. SMS should be received by valid reference number and should be failed to the invaild reference number.
7. The message will be sent as a MMS. In message list it will displayed as one  conversation with two recipients, and  in the conversation there should be one thread. MMS should be received by the reference phones.
8. All messages shall be sent with no failures from DUT
9. All messages shall be received with no failures on DUT",Messaging,Message Settings,Messaging,AOSP_Message BB8 CN_Partial_Support CN_Partial_Support_ATT EDA_updated common_execute_local_network common_validation_reg
MCA-1012,"0. The phone is powered on and camped on the network
1. Contacts are stored in the address both that have multiple phone numbers assigned to them
2. Group messaging is unchecked in messaging settings","2. Open the Messaging Application and compose a new message. In the recipients field enter a valid number that is not associated with any contact in the address book.
3. Tap on the badge
4. Enter another valid number, that has is not assigned to a contact, into the recipient field, after entering the number press the semicolon key (;)
5. Enter another valid number, that has is not assigned to a contact, into the recipient field, after entering the number press the comma key (,)
6. Enter another valid number, that has a contact assigned to it. (Such as contact A, and A should have multiple phone numbers assigned to it in the phone book.)
7. Select and change another listed number. Add some text to the message and select to send it.","2. The user should be able to create a new message and manually add a number to the recipient list. Once the number is completed it should be shown as a badge.
3. When tapping on the badge there is just an option (x button) to remove the contact
4. When the semicolon key is pressed, a badge with the entered phone number should be shown.
5.  When the comma key is pressed, a badge with the entered phone number should be shown.
6. When the number entering, there will be a prompt of matching contact shown. Such as contact A will be displayed in the prompt list.
7. The recipient list should be updated with the edited recipients and when sent should be received by all selected phone numbers.",Messaging,Message Settings,Messaging,AOSP_Message Android_O_updated BB8 CN_Partial_Support CN_Partial_Support_ATT common_execute_local_network common_validation_reg
MCA-1013,"0. 1. Phone is powered on and camped on the network.
2. Pictures & videos are stored on the phone and the external SDcard if the external sdcard is supported.
3. Group messaging is unchecked in messaging settings.","0. Launch the Messaging application and compose a new message, with a valid recipient, some text and an image file then click the back key
1. Open the draft message, check the contents of the MMS then replace the image with another image file then click the back key

2. Open the draft message, remove the attached image file and click the back key.

3. Open the draft message, then attach an image to the message. Edit the text, then send the message.

4. Long press on the sent MMS, then select to view the message details from the menu options

5. Receive an MMS with text and an attached image
6. After viewing the MMS message, long press and select to view the message details from the menu options

7. Long press on the received MMS and select forwarding from the menu options. Edit the text and remove the attached image. Long press the message to check details then send the edited message to a reference device","0. When the image adding, SMS converts to MMS. When the back key is pressed, the phone should save the message as a draft and show a draft icon

1. Draft message opened and indicate it is MMS, all contents displayed same with before draft saved. Attach image changed and after the back keypress, updated message will save as draft
2. Draft message opened and indicate it is MMS, all contents displayed same with before draft saved. Attach image removed and after back keypress, updated message will save as draft
3. When the image is attached, the message should be converted to an MMS. The message should be sent and received correctly.

4. Message details dialog pops up with the details of the message, this should be consistent with the sent message
5. The MMS is correctly received and is able to view the contents

6. Message details dialog pops up with the details of the message, this should be consistent with the received message

7. The messaging application should bring up the option to edit the message and allow the user to edit the message by removing attachments and editing the text. The message details shall be displayed and the message should be sent and received on reference devices as an SMS",Messaging,MMS,Messaging,AOSP_Message Android_O_updated BB8 CN_Partial_Support CN_Partial_Support_ATT common_execute_local_network common_refactored common_validation_reg
MCA-1015,"0.  - There are some saved contacts on DUT with phone numbers and emails;
 - MMS Auto-Retreive is ON;
 - Message Delivery Reports is ON.
","0. Compose a message to a saved contact by tapping the name and select in auto-complete list. Add the message and send as SMS/MMS  to support phone.
1. Compose message and type an email address until the address appears in the auto-complete list and then select it from the auto-complete list.

2. Add 3 more phone numbers to the recipient list. Send SMS/MMS message. 
3. Go to Message Settings and Disable Delivery reports, then compose a message and send it as SMS/MMS to a reference device.
4. Compose a message by typing the name of a contact, once the name appears in the auto-complete list, press the back key to delete.
5. Enter the maximum number of recipients (supported by the carrier) into the recipient field, then try to add more than that number.
6. Add some text  to the message and then send the message to the maximum number of recipients.
7. If applicable, repeat for step SIM 2.","0. Contacts matching the characters entered are displayed in the auto-complete. User is able to select a contact from the auto-complete and selecting it should fill in the rest of the recipients number. Once the message is received on the reference device the test phone should receive a delievery report.
1. Contacts matching the characters entered are displayed in the auto-complete. User is able to select a contact from the auto-complete list and selecting it should fill in the rest of the recipients email.
2. Auto complete should work for each recipient. The message should be correctly received on the support devices and for each message sent and received at to a phone number the DUT should receive a delivery report.
3. User is able to turn delivery reports OFF. The message should be correctly sent and received on the reference device and the DUT should not get a delivery report.
4. The phone should display contacts in the auto-complete that match the characters entered. After press back key, auto complete list is dismissed.
5. The phone should prompt the user that the maximum number of recipients has been reached and not allow more entries to be added.
6. All recipients should correctly receive the message.
7. Similar from above.",Messaging,Message Settings,"CBS - Others,Messaging",AOSP_Message CN_Partial_Support CN_Partial_Support_ATT EDA_updated Plat_Reg common_execute_local_network common_validation_reg execute_local_network execute_local_network_brazil execute_local_network_china product_validation_reg
MCA-101956,"0. 1.Phone should register live TV network or connected to the test box
2.Available channel list is saved in the phone","1. Watching a TV program 
2. Receive an incoming call","2. User should should be able to answer/ignore the call. Answering the call shall stop DTV playback.

After end the phone call , DTV should be able to resume",TV,DTV,"Call,DTV",BB8 CN_BR_Support EDA Plat_Reg brz_specific common_validation_reg product_validation_reg
MCA-101958,"0. 1.Phone should register live TV network or connected to the test box
2. Music is playing ",1. Scheduled TV program is expired,"1. Scheduled TV program should start to play , and music player should be stopped.",TV,DTV,"DTV,GMS",BB8_not_applicable CN_BR_Support EDA brz_specific common_validation_reg
MCA-101960,"0. 1.Phone should register live TV network or connected to the test box
2. Recording a video 
",1. Scheduled TV program is expired,"1. Scheduled TV program should start to play , and video recording should be stopped and recorded video should be saved in the phone. Try to playback recorded video successfully 
",TV,DTV,"Camera,DTV,MME - Image",BB8 CN_BR_Support EDA Plat_Reg brz_specific common_validation_reg product_validation_reg
MCA-101961,"0. 1.Phone should register live TV network or connected to the test box
2. FM radio is playing
",1. Scheduled TV program is expired ,"1. Scheduled TV program should start to play , and FM radio should be stopped.
",TV,DTV,"DTV,FM Radio",BB8_not_applicable CN_BR_Support EDA brz_specific common_validation_reg
MCA-101962,"0. The phone should register live TV network or connected to the test box


1. Playing a youtube video ",1. Scheduled TV program is expired ,1. Youtube player does not stop and scheduled TV program shows up as notification and user may click it to watch,TV,DTV,"DTV,GMS",BB8 CN_BR_Support EDA brz_specific common_validation_reg
MCA-101966,"0. A Provisioning client to be configured. A Provisioning server connected to the Internet. The Client doesn''t have existing APN profile with the name of application being provisioned . Phone registered to the GSM or UMTS network.
Phone is in full_ui mode.		

XML provisioning document with right settings should be used for this test (test_017_DS.xml). The User Pin should be provided.		

Priority given to customer client provisioning server if available. Otherwise use the Motorola NowSMS server. Carrier requirements refers primarily to Verizon, Vodafone, and T-Mobile Europe for now.

You can download XML at: https://drive.google.com/a/motorola.com/folderview?id=0B-A2luimi8RUfjVpQjNsNGxqcmUzd2VYNjY3cU5ZWW5BbjduNHpWaWhYcEVlckVmQVdVelk&usp=sharing","0. From the Provisioning server, send the provisioning document to the phone.	
1. Select notification. Don''t accept the new APN Profile when prompted on the phone. Choose option Postpone.

2. Click on the notification and install updates.	","0. Verify that new notification in the Notification Bar is displayed.
1. The message should be postponed. And notification in the Notification Bar is displayed.
2. Verify that the APN Profile is created correctly on the phone and all settings match the provisioning document.",Messaging,OMACP,Messaging,BB8_not_applicable Brazil_Support CN_BR_Support Latam_Reg OMACP common_validation_reg difficulty_level_medium network_dependent
MCA-101969,"0. A Provisioning client to be configured. A Provisioning server connected to the Internet. The Client doesn't have existing APN profile with the name  of application being provisioned . Phone registered to the GSM or UMTS network. Phone is in full_ui mode. APN Profile with application name from provisioning document already exists on the phone.

XML provisioning document with right settings should be used for this test (test_019_DF.xml). The User Pin should be provided.

Priority given to customer client provisioning server if available. Otherwise use the Motorola NowSMS server.  Carrier requirements refers primarily to Verizon, Vodafone, and T-Mobile Europe for now.

You can download XML at: https://drive.google.com/a/motorola.com/folderview?id=0B-A2luimi8RUfjVpQjNsNGxqcmUzd2VYNjY3cU5ZWW5BbjduNHpWaWhYcEVlckVmQVdVelk&usp=sharing","0. From the Provisioning server, send the provisioning document to the phone.	.

1. Select notification. Accept the new APN Profile when prompted on the phone, enter the authentication pin and choose option Update APN profile.	
2. Verify the APN Profile is present on the phone.	
3. From the Provisioning server, send the provisioning document to the phone.	

4. Select notification. Accept the new APN Profile when prompted on the phone, enter the authentication pin and select New when prompted on the phone New or Overwrite, enter new name for the APN profile.
","0. Verify that new notification in the Notification Bar is displayed
1. Verify that the phone prompts for the end user to accept or ignore the new APN profile.

2. Verify that the APN Profile is created correctly on the phone and all settings match the provisioning document.

3. Verify that new notification in the Notification Bar is displayed.
4. Verify that the APN Profile is created correctly on the phone and all settings match the provisioning document.
",Messaging,OMACP,Messaging,BB8_not_applicable Brazil_Support CN_BR_Support Latam_Reg OMACP common_validation_reg difficulty_level_medium network_dependent
MCA-102002,,"0. Verify encoding options after Factory Reset.
""Language Options"" flex table is present.

1. Change the default encoding method from Messaging settings options.
1.  Factory Reset the phone from Global Settings and power up the phone.
2. Select Character encoding Settings from Messaging Settings options.","0. Objective: This test case shall verify encoding options after Factory Reset.

1. Encoding method should be changed.

Note: The encoding option is seen as Use simple characters enabled by default (Messages > Three-dot menu > Settings > Advanced)
1. User selected encoding method should be reset. And encoding method should be set as per the flex table.
2. Encoding options and default encoding options shall be as per the flex table.",CBS,LATAM,"Messaging,Settings",BB8 CN_Partial_Support Latam_Reg common_validation_reg execute_davros execute_davros_brazil execute_davros_china execute_davros_india execute_non_network no_efficiency non_network_dependent
MCA-102004,"0. A Provisioning client to be configured. A Provisioning server connected to the Internet. The Client doesn't have existing APN profile with the name  of applications  being provisioned . Phone registered to the GSM or UMTS network. Phone is in full_ui mode.

XML provisioning document with right settings should be used for this test (test_023.xml). The User Pin should be provided.

Priority given to customer client provisioning server if available. Otherwise use the Motorola NowSMS server.  Carrier requirements refers primarily to Verizon, Vodafone, and T-Mobile Europe for now.

You can download XML at: https://drive.google.com/a/motorola.com/folderview?id=0B-A2luimi8RUfjVpQjNsNGxqcmUzd2VYNjY3cU5ZWW5BbjduNHpWaWhYcEVlckVmQVdVelk&usp=sharing","0. From the Provisioning server, send the provisioning document to the phone.	

1. Select notification. Accept the new APN Profiles when prompted on the phone, enter the authentication pin and add APN profiles.	

2. Verify the 2 APN Profiles are present on the phone.	","0. Verify that new notification in the Notification Bar is displayed.
1. Verify that the phone prompts for the end user to accept or ignore the new APN profiles.
2. Verify that the APN Profiles (for MMS and Browser) are created correctly on the phone  and all settings match the provisioning document.
",Messaging,OMACP,Messaging,BB8_not_applicable Brazil_Support CN_BR_Support CR_updated Latam_Reg OMACP common_validation_reg difficulty_level_medium network_dependent
MCA-102006,"0. A Provisioning client to be configured. A Provisioning server connected to the Internet. The Client doesn't have existing APN profile with the name  of application being provisioned . Phone registered to the GSM or UMTS network. Phone is in full_ui mode.

XML provisioning document with right settings should be used for this test (test_024.xml). The User Pin should be provided.

Priority given to customer client provisioning server if available. Otherwise use the Motorola NowSMS server.  Carrier requirements refers primarily to Verizon, Vodafone, and T-Mobile Europe for now.

You can download XML at: https://drive.google.com/a/motorola.com/folderview?id=0B-A2luimi8RUfjVpQjNsNGxqcmUzd2VYNjY3cU5ZWW5BbjduNHpWaWhYcEVlckVmQVdVelk&usp=sharing","0. From the Provisioning server, send the provisioning document to the phone.	.

1. Select notification. Accept the new APN Profile when prompted on the phone, enter the authentication pin and add APN profile.	
2. Verify the APN Profile is present on the phone.	
","0. Verify that new notification in the Notification Bar is displayed
1. 
Verify that the phone prompts for the end user to accept or ignore the new APN profile.
2. Verify that the APN Profile is created correctly on the phone and all settings match the provisioning document.",Messaging,OMACP,Messaging,BB8_not_applicable Brazil_Support CN_BR_Support Latam_Reg OMACP common_validation_reg difficulty_level_medium network_dependent
MCA-102008,"0. Notes :
- If tester is not in Brazil, Use TMO carrier in both devices (DUT and Support) to run this case at live network or using a femtocell.
- Check Confluence to learn how to use the SMS CIn tool :https://confluence.mot.com/display/PLAT/SMS_CIn+tool+-+Sending+provisioning+messages

1. A Provisioning client to be configured. A Provisioning server connected to the Internet. The Client doesn't have existing APN profile with the name  of application being provisioned . Phone registered to the GSM or UMTS network. Phone is in full_ui mode.

XML provisioning document with right settings should be used for this test (test_025.xml). The User Pin should be provided.

Priority given to customer client provisioning server if available. Otherwise use the Motorola NowSMS server.  Carrier requirements refers primarily to Verizon, Vodafone, and T-Mobile Europe for now.

You can download XML at: https://drive.google.com/a/motorola.com/folderview?id=0B-A2luimi8RUfjVpQjNsNGxqcmUzd2VYNjY3cU5ZWW5BbjduNHpWaWhYcEVlckVmQVdVelk&usp=sharing","0. From the Provisioning server, send the provisioning document to the phone.	

1. Select notification. Accept the new APN Profile when prompted on the phone, enter the authentication pin and add APN profile.	
2. Verify the APN Profile is present on the phone.	
","0. Verify that new notification in the Notification Bar is displayed.
1. Verify that the phone prompts for the end user to accept or ignore the new APN profile.

2. Verify that the APN Profile is created correctly on the phone and all settings match the provisioning document.",Messaging,OMACP,Messaging,BB8_not_applicable Brazil_Support CN_BR_Support FEATURE-3650 Latam_Reg Plat_Reg common_validation_reg difficulty_level_medium execute_live_latam_china no_efficiency product_validation_reg
