JIRA_FEATURE_ID_CF_12210,description,summary,Comments
FEATURE-1160,,FEATURE-1160: Read SIM toolkit application name from the SIM card [34564],"RPADX-5475 Plan Created For:
FEATURE-1160: Read SIM toolkit application name from the SIM card [34564]
RPADX-5278 ADX S_MR
We are changing the integration CWV to 30/jul/2021 because we are working on fixing the title reported at IKSWSRVC-24397"
FEATURE-2072,,FEATURE-2072: Incoming call screen shall have higher precedence over USSD dialog [37163],We are changing Integrate CWV to 23/Jul/21 because there are Telephony commits was not integrated and the team needs more time to check with Telephony team these missed commits and validate the feature behavior on Android S.
FEATURE-3033,,FEATURE-3033: Enable only editing of Class 3 APN Name field [39589],Applied the a12r1 label at creation when it should have been a12r0.  Fixing it.
FEATURE-3617,,FEATURE-3617: Tethering (WI-FI Hotspot / USB Tethering / BT Tethering) Entitlement,"Applied the a12r1 label at creation when it should have been a12r0.  Fixing it.
Only change made on last version's RPADX-4256 was IKSWR-1280, which is also dealt with by RPADX-4287 FEATURE-4628
Porting feature test completed.
Test CWV updated, due to CR IKSWS-1097.
Test CWV updated. MS2 exception Plan."
FEATURE-3632,,FEATURE-3632: Cell Broadcast (Geographical Information),Wa changed Integrate CWV to 23/Jul/21because there is a pending commit on Android R which was still not integrated (IKSWR-106117)
FEATURE-3650,,FEATURE-3650: OMA CP Support,[~a20402] the Int CWV date is past due for this plan.  Can you update the Int Actual date if you have integrated it or the Int CWV date if it hasn't been updated yet?
FEATURE-3789,,FEATURE-3789: Enable dual sim (DSDS) related use cases - CBS,"We are changing Integrate CWV to 30/Jul/21 because this plan depends on RPADX-5490 and RPADX-5494, which are with integrate CWV to 30/Jul/21

 "
FEATURE-3862,,FEATURE-3862: Support to IMS registration query API,Applied the a12r1 label at creation when it should have been a12r0.  Fixing it.
FEATURE-3934,,FEATURE-3934: Contacts search should considered special characters (such as '*' and '#') during phone match digit process,
FEATURE-3957,,FEATURE-3957: Handling of SIM card lock setting,"Hello [~pedrolpc], [~josegsp],

IKSWS-1463 needs to be propagated to Android T, since it is part of FEATURE-3957. Could you please give a status of MSimSettings T bringup?

Thanks in advance,

Arthur

 

+[~ajconti], [~daoliv], [~thiagot]
Hi [~ajwander],
MSimSettings T bringup was completed today (06/30), the tests related to the IKSWS-1463 change can now be performed on Android T.
Any questions regarding MSimSettings dependencies please contact us.

Regards"
