issue_key,description,summary
FEATURE-1160,SIM toolkit application name must be read from the SIM card.,Read SIM toolkit application name from the SIM card [34564]
FEATURE-2072,"This feature allows the user to handle an incoming call, while an USSD command is in process, by moving the calling UI to the top of the USSD dialog.",Incoming call screen shall have higher precedence over USSD dialog [37163]
FEATURE-3033,"In JB platform, all the APNs are visible and all the fields are editable. Per VZW requirement, only Class 3 APN should be visible and only APN Name field shall be editable

Requirements: 
section 4.1.5.2.1 - Manual PDN change
https://docs.google.com/a/motorola.com/file/d/0B-C5LP5UA8bKNkdobU9WQTZieTA/edit?usp=sharing",Enable only editing of Class 3 APN Name field [39589]
FEATURE-3617,"Consolidation feature for Future Ports.
 This feature consolidates all the following features.
 FEATURE-1919: Provisioning check and Self on Device Provisioning for VZW Mobile Hotspot [36668]
 FEATURE-2438: VZW SPG Enhancements [38043]
 FEATURE-3019: BUA+ Media - Support SPG When WiFi and Cellular Network is available [39572]
 FEATURE-1370: ATT Tethering (USB) and Hotspot entitlement [35235]
 FEATURE-2854: Entitlement Check for tethering via Bluetooth and USB [39140]
 FEATURE-2081: AT&T Service Level Entitlement (HTTP Request and Response) [37197]
 FEATURE-3209: T-Mobile US - USB, Bluetooth and WiFi Tethering entitlement

Added on 9/14/15:
 FEATURE-4411: VZW Oct. 2014/Feb. 2015: Reqs-Wi-Fi-MobileHotSpotUserInterface: Mobile Hotspot provisioning

Adding Cricket entitlement requirements:
 Details @ AT&T Requirement Spec 13340, Chapter 89.21.6 Requirements for Smartphones with Native Tethering API.

*<CKT-CON-1200>* Tethering – Entitlement Check 
 Summary: Before enabling",Tethering (WI-FI Hotspot / USB Tethering / BT Tethering) Entitlement
FEATURE-3632,"Consolidation feature for Future Ports.
This feature consolidates all the following features.
FEATURE-541: UI changes to continually show the geographic area using Cell Broadcast [32372]
FEATURE-3040: Network Info and Geographical area information based on BCCH. [39618]",Cell Broadcast (Geographical Information)
FEATURE-3650,"Consolidation feature for Future Ports.
This feature consolidates all the following features.
FEATURE-2930: Provisioning APN IP type via OMA-CP [39338]
FEATURE-417: OMA CP 1.1 Support for Android [31822]",OMA CP Support
FEATURE-3789,CBS applications have to be modified to use dual sim dual standby use cases. This is a subset of FEATURE-3732.,Enable dual sim (DSDS) related use cases - CBS
FEATURE-3934,"This feature is requesting to take in consideration special characters during contacts search for the dialed matching comparison.

Currently, AOSP disregards special characters, such as ""*"" and ""#"" during stock contacts search. 

The stock contacts search disregards special characters and uses normalized numbers with limit on how many digits are used for comparison.

This stock behavior has caused issues and complains by LATAM Carriers, based on the fact that they have some services stored as SDN (Service Dialed Numbers) in Contacts db which dial number uses special character, and causing matching issues.

For example, if a SDN stored as ""Service1"", number ""*100"", either if a user dials ""100"", it will match with Contact record ""Service1"" and display it in the phone app.

This feature does not need to be configurable and shall be applicable to all Carriers.",Contacts search should considered special characters (such as '*' and '#') during phone match digit process
FEATURE-3957,"Background
Setting up SIM PIN is a legacy GSM feature and newly introduced to CDMA carriers via LTE
Under Security->Setup SIM card lock Android provides an ability for consumer to set up SIM card lock
Device ships out of box with carrier defined SIM card lock setting
Android prompts consumer Lock SIM card.  It is not clear that consumer needs to enter the current unlock code which they need to obtain by contacting carrier customer care
Consumers have entered incorrect SIM PIN on Moto X and have locked their devices (only emergency calls are allowed) post 3 retries
",Handling of SIM card lock setting 
FEATURE-3965,"Network enabler feature requested by European carriers.

For many users who have pre-pay plans, mobile data would be disabled to prevent bill shock. This means that they cannot send or receive MMS. Orange have strongly requested this (waived on DVX, mandatory in future). Also 3 Italy, who use MMS for voicemail notification. Play Poland also has the same requirement.

In summary:
- The device must be able to send (and receive) MMS messages (via the corresponding *mms* APN), even when packet mobile network (internet APN) is inactive (switched off by the end user).
- This includes the carrier own network and when devices is on National roaming.
- In order to do so, the data connection may be forced to on to allow the the MSS message to be sent/received, only for the duration of the data transmission.
- MMS messages must not be downloaded automatically under roaming coverage.

\\
+Note:+ Requirements from Play Poland attached as a reference.",Send (and receive) MMS when mobile data is disabled
FEATURE-4134,"These are AT&T Supplementary Services requirements:
1.<CDR-LTE-1978> Supplementary Services Support
Summary: A VoLTE capable UE shall support the following list of supplementary services contained in section 2.3 of GSMA PRD IR.92.
1. Originating Identification Presentation (3GPP TS 24.607)
2. Originating Identification Restriction (3GPP TS 24.607)
3. Communication Forwarding Unconditional (3GPP TS 24.604)
4. Communication Forwarding on Not Logged In (3GPP TS
24.604)
5. Communication Forwarding on Busy (3GPP TS 24.604)
6. Cmmunication Forwarding on Not Reachable (3GPP TS
24.604)
7. Communication Forwarding on No Reply (3GPP TS 24.604)
8. Communication Hold (3GPP TS 24.610)
9. Communication Waiting (3GPP TS 24.615)
10.Ad-Hoc Multi Party Conference (3GPP TS 24.605)

2. <CDR-LTE-1982> Supplementary Services Configuration
Summary: Configuration management of supplementary services by the user shall only use the Ut interface and XCAP as the enabling protocol as described in ",AT&T Voice Services Support 
FEATURE-4444,"Make APN option in settings menu visible for CDMA devices (USC) and allow the edit/add option as per the requirement.
OR
Use the existing programming menu (accessible via key sequence #0setup* ) that would enable admins to view, add, and edit the APN name only. All other information may remain visible but must remain inaccessible.",Add and Edit APN Name on USC Device
FEATURE-4491,"The following features for VZW Setup Wizard functionality are consolidated into a single feature for easy tracking:

Original List:
 FEATURE-3762: Enhanced SIM Activation Messages
 FEATURE-3859: Allow to continue with Setup Wizard when No SIM/Invalid SIM is detected
 FEATURE-3861: UICC Notification Changes Update to Setup Wizard when selecting WiFi
 FEATURE-3883: 2 Minutes display timeout during setup wizard
 FEATURE-3939: LTE Activation
 FEATURE-3972: Verizon Email Setup in Setup Wizard
 FEATURE-4158: Setup Wizard Enhancements
 FEATURE-4159: UICC messages and UI updates
 FEATURE-4178: HTTP redirect after initial powerup
 FEATURE-4206: Post setup UICC text modifications
 FEATURE-4236: Email flow for X+1 Setup
 FEATURE-4253: Setup Wizard Enhancement

Added to consolidation list 7/27:
 FEATURE-4610: VZW AFW(Android for Work) : NFC related requirements
 FEATURE-4430: VZW EN : Kill Switch UI changes integration in Setup Wizard flow
 FEATURE-4254: Setup Wizard enhancement",VZW Setup Wizard Features Consolidation
FEATURE-4562,"This feature extends the functionality of FEATURE-4028, so that it does not show the SIM selection dialog on the data setup dialog.

REQ-001: For the case of a 'ro.carrier' from a specific carrier, and when the user inserts a SIM card from that same carrier (e.g. 'ro.carrier' = timbr, and SIM card from TIM Brazil):
 - Change the data SIM selection dialog to be only a notification screen, removing the SIM card selection option.
 - Change the dialog text to the following (refer to the attached screenshots):
 en-US: ""Your device is configured for the data connection with [SIM name]"".
 pt-BR: ""Seu aparelho está configurado para conexão de dados via [SIM name].""

REQ-002 If there is no SIM card from the carrier that matches the selected 'ro.carrier', the device should behave the same as FEATURE-4028.

REQ-003: If before swapping or inserting a new SIM card, the cellular data was disabled by the user, the data selection must still change according to REQ-001.

REQ-004: If there i",Change the behavior of FEATURE-4028 to remove the SIM card selection option from the data setup dialog
FEATURE-4645,"This feature tracks works the integration work needed to support Android work on devices, with multiuser exposed to the user, supporting Device Owner and Managed Profile.

This is applicable to all devices except Droid line and Calisto, and follows the guideline from Android to configure AFW.

- declare managed users
- make sure the DO an MP whitelist and blacklist are populated
- make sure MP creation works
- make sure DO works over NFC
- make sure DO works over Activation code
- make sure completed
- meets AFW checklist
- meets CTS
- testing

",[AW] Support Android Work on X-Line (w/multiuser)
FEATURE-4646,"This feature tracks works the integration work needed to support Android work on devices, supporting Device Owner and Managed Profile and the VZW requirements for rollout of AW.

This is only applicable for Droid products, and follows the guideline from Android to configure AFW.

- declare managed users
- make sure the DO an MP whitelist and blacklist are populated according to verizon requirements
- make sure MP creation works
- Meet VZW NFC Setup requirements 
- make sure DO works over NFC
- make sure DO works over Activation code
- VZW compliant DO blacklist and whitelist
- meets AFW checklist
- meets CTS
- testing

Multiuser UI will NOT be available as per Verizon's request.

{quote}
Updates from 5/1/2019 (Suhas Malagi)
{quote}

*+VZ_REQ_ANDROID_39023+*

1.2.58.2.1	Device Owner (DO) Mode 
OEMs must retain these Verizon pre-loaded services and applications to be available for execution after the device is provisioned as Device Owner. Any other services or app",[AW] Support Android Work  on Droid Line products
FEATURE-4692,"Recent Dual SIM survey pointed out that SIM for data management is growing more important every day for Dual SIM users, and its relevance is already rivalling with SIM for calls management.

At the same time pure Android UI still lack intuitiveness when it comes to such Dual SIM data management. Moreover, native UX does not fit properly Motorola UX, leading to best-effort UI solutions.

Due to that this Quick Panel for Dual SIM feature is proposed, providing neater, more intuitive usability for Dual SIM users in all regions/markets while keeping Android UI consistency.",Quick Panel for Dual SIM (select SIM for data)
FEATURE-4896,"______________________________________________________________
Turning Airplane Mode On VZ_REQ_UI_33938
This dialog shall also be shown at any other points where the user manually switches on Airplane Mode. This includes quick settings, settings widgets, and all other control points.
Reference Dialog: *Dialog-1*

For devices supporting VoLTE and Wi-Fi calling (i.e. AC 2.0 provisioned and Wi-Fi calling not blocked by the network), the dialog should be amended to the following:
Reference Dialog: *Dialog-2*

 - This dialog shall also be shown at any other points where the user manually switches on Airplane Mode. This includes quick settings, settings widgets, and all other control points. Applicable to devices supporting VoLTE and Wi-Fi calling (i.e. AC 2.0 provisioned and Wi-Fi calling not blocked by the network)
___________________________________

Powering on the Device VZ_REQ_UI_33939
This dialog shall be shown at start up, if the user powers on the device and Airplane mod",Modify Airplane setting description and Airplane Notifications
